absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET / HTTP/1.1 | 0 | not_dropped | 0 | GET / HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /?gws_rd=ssl HTTP/1.1 | 1 | not_dropped | 0 | GET /?gws_rd=ssl HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /logos/doodles/2018/kurt-masurs-91st-birthday-4575773577969664-s.png HTTP/1.1 | 1 | not_dropped | 0 | GET /logos/doodles/2018/kurt-masurs-91st-birthday-4575773577969664-s.png HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /logos/doodles/2018/kurt-masurs-91st-birthday-4575773577969664.9-l.png HTTP/1.1 | 1 | not_dropped | 0 | GET /logos/doodles/2018/kurt-masurs-91st-birthday-4575773577969664.9-l.png HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 5 | POST /gen_204?s=webaft&t=aft&atyp=csi&ei=EWFPW8DhHrKxggenjCs&rt=wsrt.655,aft.584,prt.584 HTTP/1.1 | 1 | not_dropped | 0 | POST /gen_204?s=webaft&t=aft&atyp=csi&ei=EWFPW8DhHrKxggenjCs&rt=wsrt.725,aft.671,prt.671 HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /images/nav_logo242.png HTTP/1.1 | 1 | not_dropped | 0 | GET /images/nav_logo242.png HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /xjs/_/js/k=xjs.s.en_US.rPngdHeRibE.O/m=sx,sb,cdos,elog,hsm,jsa,r,d,csi/am=IIuwH_8Ayf8vDCgKtoIRFphBwbAJ/rt=j/d=1/dg=0/rs=ACT90oHhoKtVw29ZOSfeg-INny2EYwA7cw HTTP/1.1 | 1 | not_dropped | 0 | GET /xjs/_/js/k=xjs.s.en_US.rPngdHeRibE.O/m=sx,sb,cdos,elog,hsm,jsa,r,d,csi/am=IIuwH_8Ayf8vDCgKtoIRFphBwbAJ/rt=j/d=1/dg=0/rs=ACT90oHhoKtVw29ZOSfeg-INny2EYwA7cw HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /images/branding/product/ico/googleg_lodp.ico HTTP/1.1 | 1 | not_dropped | 0 | GET /images/branding/product/ico/googleg_lodp.ico HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /xjs/_/js/k=xjs.s.en_US.rPngdHeRibE.O/am=IIuwH_8Ayf8vDCgKtoIRFphBwbAJ/rt=j/d=1/exm=sx,sb,cdos,elog,hsm,jsa,r,d,csi/ed=1/dg=0/rs=ACT90oHhoKtVw29ZOSfeg-INny2EYwA7cw/m=aa,abd,async,dvl,foot,fpe,ifl,ipv6,lu,m,mu,sf,sonic,spch,wft,d3l,udlg?xjs=s1 HTTP/1.1 | 1 | not_dropped | 0 | GET /xjs/_/js/k=xjs.s.en_US.rPngdHeRibE.O/am=IIuwH_8Ayf8vDCgKtoIRFphBwbAJ/rt=j/d=1/exm=sx,sb,cdos,elog,hsm,jsa,r,d,csi/ed=1/dg=0/rs=ACT90oHhoKtVw29ZOSfeg-INny2EYwA7cw/m=aa,abd,async,dvl,foot,fpe,ifl,ipv6,lu,m,mu,sf,sonic,spch,wft,d3l,udlg?xjs=s1 HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 4 | POST /gen_204?atyp=csi&ei=EWFPW8DhHrKxggenjCs&s=webhp&t=all&imc=3&imn=3&imp=0&adh=&conn=onchange&ima=2&ime=0&imeb=0&imeo=0&mem=ujhs.10,tjhs.11,jhsl.2330,dm.4&net=dl.1600,ect.4g,rtt.0&rt=aft.584,dcl.610,iml.584,ol.674,prt.584,xjs.1343,xjsee.1343,xjses.1200,xjsls.691,wsrt.655,cst.9,dnst.0,rqst.139,rspt.133,sslt.3,rqstt.497,unt.362,cstt.448,dit.1266&zx=1531929355874 HTTP/1.1 | 1 | not_dropped | 0 | POST /gen_204?atyp=csi&ei=EWFPW8DhHrKxggenjCs&s=webhp&t=all&imc=3&imn=3&imp=0&adh=&conn=onchange&ima=2&ime=0&imeb=0&imeo=0&mem=ujhs.10,tjhs.10,jhsl.2330,dm.4&net=dl.1600,ect.4g,rtt.50&rt=aft.671,dcl.696,iml.671,ol.781,prt.671,xjs.1219,xjsee.1219,xjses.1026,xjsls.796,wsrt.725,cst.96,dnst.0,rqst.380,rspt.269,sslt.96,rqstt.403,unt.307,cstt.307,dit.1420&zx=1531928851166 HTTP/1.1
absolute | POST /ListAccounts?gpsia=1&source=durations_metrics,counter:0,load_time_ms:343&json=standard HTTP/1.1 | 0 | GET /textinputassistant/tia.png HTTP/1.1 | 1 | not_dropped | 0 | GET /textinputassistant/tia.png HTTP/1.1
